Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Estimates Start After
Afghanistan,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 Notes: National accounts data is originally compiled on the basis of a solar year, which runs from March 21 to March 20. Data is converted to calendar years for the purpose of WEO publication. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes. National accounts data is originally compiled on the basis of a solar year, which runs from March 21 to March 20 Start/end months of reporting year: January/December Base year: 2016. Base year is the solar year 2002/03 Chain-weighted: No Primary domestic currency: Afghan afghani Data last updated: n/a",899.956,958.266,"1,092.12","1,154.18","1,185.31","1,197.01","1,222.92","1,255.29","1,270.22","1,319.90","1,288.87",n/a,n/a,2020
Afghanistan,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",8.438,6.479,13.968,5.683,2.697,0.988,2.164,2.647,1.189,3.912,-2.351,n/a,n/a,2020
Afghanistan,"Gross domestic product, current prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 Notes: National accounts data is originally compiled on the basis of a solar year, which runs from March 21 to March 20. Data is converted to calendar years for the purpose of WEO publication. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes. National accounts data is originally compiled on the basis of a solar year, which runs from March 21 to March 20 Start/end months of reporting year: January/December Base year: 2016. Base year is the solar year 2002/03 Chain-weighted: No Primary domestic currency: Afghan afghani Data last updated: n/a",711.759,836.222,"1,033.59","1,116.83","1,183.04","1,226.57","1,222.92","1,285.46","1,327.69","1,469.60","1,547.29",n/a,n/a,2020
Afghanistan,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",15.325,17.89,20.293,20.17,20.616,20.057,18.02,18.883,18.401,18.876,20.136,n/a,n/a,2020
Afghanistan,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",46.309,50.334,59.945,63.784,69.444,72.056,70.098,74.712,77.418,81.889,81.007,n/a,n/a,2020
Afghanistan,"Gross domestic product, deflator",Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",79.088,87.264,94.641,96.764,99.809,102.469,100,102.404,104.525,111.341,120.05,n/a,n/a,2020
Afghanistan,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","37,083.17","38,282.44","42,225.02","43,169.34","42,944.60","42,110.88","41,880.72","42,265.57","40,196.70","40,990.73","39,127.08",n/a,n/a,2019
Afghanistan,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","2,207.11","2,278.49","2,513.14","2,569.34","2,555.97","2,506.35","2,492.65","2,515.55","2,392.42","2,439.68","2,328.76",n/a,n/a,2019
Afghanistan,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","29,328.41","33,406.83","39,962.17","41,772.32","42,862.46","43,150.71","41,880.72","43,281.49","42,015.52","45,639.64","46,972.10",n/a,n/a,2019
Afghanistan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",631.49,714.7,784.611,754.402,746.922,705.597,617.126,635.789,582.323,586.204,611.268,n/a,n/a,2019
